subNo	experimentName	trial	stim1	stim2	stim3	response	reactionTime
wb	Bending_Silk	1	/vid_8.mov	/vid_6.mov	/vid_5.mov	2	84097
wb	Bending_Silk	2	/vid_1.mov	/vid_2.mov	/vid_8.mov	2	30920
wb	Bending_Silk	3	/vid_7.mov	/vid_6.mov	/vid_4.mov	1	97876
wb	Bending_Silk	4	/vid_1.mov	/vid_5.mov	/vid_6.mov	1	16738
wb	Bending_Silk	5	/vid_6.mov	/vid_3.mov	/vid_1.mov	2	38510
wb	Bending_Silk	6	/vid_1.mov	/vid_6.mov	/vid_8.mov	1	11237
wb	Bending_Silk	7	/vid_8.mov	/vid_7.mov	/vid_4.mov	2	28939
wb	Bending_Silk	8	/vid_5.mov	/vid_2.mov	/vid_1.mov	1	6488
wb	Bending_Silk	9	/vid_1.mov	/vid_3.mov	/vid_8.mov	2	96213
wb	Bending_Silk	10	/vid_1.mov	/vid_4.mov	/vid_7.mov	1	15790
wb	Bending_Silk	11	/vid_2.mov	/vid_6.mov	/vid_7.mov	1	11403
wb	Bending_Silk	12	/vid_1.mov	/vid_4.mov	/vid_5.mov	1	7703
wb	Bending_Silk	13	/vid_7.mov	/vid_2.mov	/vid_1.mov	1	8371
wb	Bending_Silk	14	/vid_6.mov	/vid_5.mov	/vid_3.mov	1	126402
wb	Bending_Silk	15	/vid_3.mov	/vid_6.mov	/vid_7.mov	1	34607
wb	Bending_Silk	16	/vid_1.mov	/vid_2.mov	/vid_3.mov	1	10803
wb	Bending_Silk	17	/vid_1.mov	/vid_3.mov	/vid_5.mov	1	11321
wb	Bending_Silk	18	/vid_4.mov	/vid_5.mov	/vid_7.mov	2	18477
wb	Bending_Silk	19	/vid_1.mov	/vid_3.mov	/vid_4.mov	1	10749
wb	Bending_Silk	20	/vid_7.mov	/vid_6.mov	/vid_1.mov	2	7136
wb	Bending_Silk	21	/vid_4.mov	/vid_5.mov	/vid_8.mov	2	4372
wb	Bending_Silk	22	/vid_5.mov	/vid_3.mov	/vid_2.mov	2	19773
wb	Bending_Silk	23	/vid_8.mov	/vid_5.mov	/vid_3.mov	2	35725
wb	Bending_Silk	24	/vid_5.mov	/vid_4.mov	/vid_2.mov	2	18122
wb	Bending_Silk	25	/vid_7.mov	/vid_3.mov	/vid_2.mov	1	18407
wb	Bending_Silk	26	/vid_6.mov	/vid_4.mov	/vid_1.mov	2	9853
wb	Bending_Silk	27	/vid_2.mov	/vid_6.mov	/vid_8.mov	1	10686
wb	Bending_Silk	28	/vid_4.mov	/vid_6.mov	/vid_8.mov	1	3620
wb	Bending_Silk	29	/vid_2.mov	/vid_4.mov	/vid_6.mov	2	87345
wb	Bending_Silk	30	/vid_8.mov	/vid_7.mov	/vid_3.mov	2	2486
wb	Bending_Silk	31	/vid_8.mov	/vid_4.mov	/vid_3.mov	1	9847
wb	Bending_Silk	32	/vid_7.mov	/vid_5.mov	/vid_1.mov	2	4238
wb	Bending_Silk	33	/vid_1.mov	/vid_2.mov	/vid_4.mov	1	24389
wb	Bending_Silk	34	/vid_4.mov	/vid_5.mov	/vid_6.mov	1	11356
wb	Bending_Silk	35	/vid_5.mov	/vid_6.mov	/vid_7.mov	1	14623
wb	Bending_Silk	36	/vid_7.mov	/vid_5.mov	/vid_3.mov	2	43111
wb	Bending_Silk	37	/vid_8.mov	/vid_7.mov	/vid_5.mov	2	4982
wb	Bending_Silk	38	/vid_8.mov	/vid_7.mov	/vid_1.mov	2	6366
wb	Bending_Silk	39	/vid_7.mov	/vid_4.mov	/vid_2.mov	2	3865
wb	Bending_Silk	40	/vid_2.mov	/vid_3.mov	/vid_8.mov	2	3702
wb	Bending_Silk	41	/vid_2.mov	/vid_4.mov	/vid_8.mov	2	2984
wb	Bending_Silk	42	/vid_3.mov	/vid_4.mov	/vid_5.mov	1	38594
wb	Bending_Silk	43	/vid_8.mov	/vid_4.mov	/vid_1.mov	2	63027
wb	Bending_Silk	44	/vid_8.mov	/vid_7.mov	/vid_6.mov	2	18987
wb	Bending_Silk	45	/vid_6.mov	/vid_5.mov	/vid_2.mov	2	3869
wb	Bending_Silk	46	/vid_2.mov	/vid_5.mov	/vid_8.mov	1	46684
wb	Bending_Silk	47	/vid_7.mov	/vid_3.mov	/vid_1.mov	2	6567
wb	Bending_Silk	48	/vid_6.mov	/vid_3.mov	/vid_2.mov	2	27726
wb	Bending_Silk	49	/vid_3.mov	/vid_4.mov	/vid_6.mov	1	53946
wb	Bending_Silk	50	/vid_3.mov	/vid_4.mov	/vid_7.mov	1	21357
wb	Bending_Silk	51	/vid_2.mov	/vid_5.mov	/vid_7.mov	1	10868
wb	Bending_Silk	52	/vid_8.mov	/vid_6.mov	/vid_3.mov	2	4418
wb	Bending_Silk	53	/vid_6.mov	/vid_2.mov	/vid_1.mov	1	5489
wb	Bending_Silk	54	/vid_8.mov	/vid_7.mov	/vid_2.mov	2	1663
wb	Bending_Silk	55	/vid_4.mov	/vid_3.mov	/vid_2.mov	2	14120
wb	Bending_Silk	56	/vid_8.mov	/vid_5.mov	/vid_1.mov	2	8169
